lon,lat,city
-95.3698028,29.7604267,"Houston,TX"
-118.2436849,34.0522342,"Los Angeles,CA"
-73.9441579,40.6781784,"Brooklyn,NY"
-98.4936282,29.4241219,"San Antonio,TX"
-90.0715323,29.9510658,"New Orleans,LA"
-122.2711137,37.8043637,"Oakland,CA"
-121.4943996,38.5815719,"Sacramento,CA"
-84.3879824,33.7489954,"Atlanta,GA"
-90.0489801,35.1495343,"Memphis,TN"
-97.5164276,35.4675602,"Oklahoma City,OK"
-96.7969879,32.7766642,"Dallas,TX"
-87.6297982,41.8781136,"Chicago,IL"
-87.9064736,43.0389025,"Milwaukee,WI"
-93.2650108,44.977753,"Minneapolis,MN"
-104.990251,39.7392358,"Denver,CO"
-111.8910474,40.7607793,"Salt Lake City,UT"
-122.6764815,45.5230622,"Portland,OR"
-112.0740373,33.4483771,"Phoenix,AZ"
-81.6943605,41.49932,"Cleveland,OH"
-86.158068,39.768403,"Indianapolis,IN"
-83.0457538,42.331427,"Detroit,MI"
-71.0588801,42.3600825,"Boston,MA"
-74.0059728,40.7127753,"New York,NY"
-75.1652215,39.9525839,"Philadelphia,PA"
-77.0368707,38.9071923,"Washington,D.C."
-80.8431267,35.2270869,"Charlotte,NC"
-81.3792365,28.5383355,"Orlando,FL"
-80.1917902,25.7616798,"Miami,FL"
-79.3831843,43.653226,"Toronto,ON"